datetime,bid_close_agg
2020-01-02,1.11702
2020-01-03,1.11599
2020-01-06,1.11948
2020-01-07,1.1153
2020-01-08,1.11124
2020-01-09,1.11088
2020-01-10,1.11156
2020-01-13,1.11339
2020-01-14,1.11271
2020-01-15,1.11518
2020-01-16,1.11364
2020-01-17,1.10939
2020-01-20,1.10957
2020-01-21,1.10844
2020-01-22,1.10952
2020-01-23,1.10548
2020-01-24,1.10239
2020-01-27,1.10187
2020-01-28,1.10215
2020-01-29,1.10132
2020-01-30,1.10282
2020-01-31,1.10885
2020-02-03,1.10618
2020-02-04,1.1044
2020-02-05,1.09994
2020-02-06,1.09802
2020-02-07,1.09486
2020-02-10,1.09096
2020-02-11,1.09185
2020-02-12,1.08749
2020-02-13,1.08408
2020-02-14,1.08407
2020-02-17,1.0836
2020-02-18,1.07934
2020-02-19,1.08091
2020-02-20,1.07871
2020-02-21,1.08379
2020-02-24,1.08481
2020-02-25,1.08792
2020-02-26,1.08857
2020-02-27,1.09958
2020-02-28,1.10512
2020-03-02,1.11437
2020-03-03,1.11759
2020-03-04,1.11376
2020-03-05,1.1222
2020-03-06,1.1387
2020-03-09,1.13986
2020-03-10,1.13133
2020-03-11,1.12608
2020-03-12,1.11814
2020-03-13,1.11537
2020-03-16,1.11626
2020-03-17,1.10154
2020-03-18,1.09429
2020-03-19,1.06538
2020-03-20,1.06882
2020-03-23,1.07622
2020-03-24,1.07972
2020-03-25,1.08874
2020-03-26,1.10466
2020-03-27,1.11355
2020-03-30,1.10281
2020-03-31,1.10253
2020-04-01,1.09505
2020-04-02,1.08452
2020-04-03,1.08044
2020-04-06,1.0798
2020-04-07,1.08928
2020-04-08,1.08593
2020-04-09,1.09193
2020-04-10,1.09308
2020-04-13,1.0919
2020-04-14,1.09822
2020-04-15,1.0903
2020-04-16,1.08579
2020-04-17,1.0863
2020-04-20,1.08631
2020-04-21,1.08559
2020-04-22,1.08056
2020-04-23,1.07738
2020-04-24,1.08198
2020-04-27,1.08239
2020-04-28,1.08319
2020-04-29,1.08767
2020-04-30,1.09442
2020-05-01,1.096
2020-05-04,1.09023
2020-05-05,1.08381
2020-05-06,1.07976
2020-05-07,1.08354
2020-05-08,1.0837
2020-05-11,1.08086
2020-05-12,1.08445
2020-05-13,1.08205
2020-05-14,1.08055
2020-05-15,1.08177
2020-05-18,1.09133
2020-05-19,1.09255
2020-05-20,1.09787
2020-05-21,1.09487
2020-05-22,1.09072
2020-05-25,1.09008
2020-05-26,1.09756
2020-05-27,1.10161
2020-05-28,1.10775
2020-05-29,1.1115
2020-06-01,1.11246
2020-06-02,1.11844
2020-06-03,1.12343
2020-06-04,1.1335
2020-06-05,1.13152
2020-06-08,1.13034
2020-06-09,1.13314
2020-06-10,1.13657
2020-06-11,1.12871
2020-06-12,1.12509
2020-06-15,1.1337
2020-06-16,1.12642
2020-06-17,1.12412
2020-06-18,1.12072
2020-06-19,1.11759
2020-06-22,1.12771
2020-06-23,1.13119
2020-06-24,1.12494
2020-06-25,1.12173
2020-06-26,1.12212
2020-06-29,1.12459
2020-06-30,1.1233
2020-07-01,1.12506
2020-07-02,1.12366
2020-07-03,1.12461
2020-07-06,1.13118
2020-07-07,1.12739
2020-07-08,1.13367
2020-07-09,1.12874
2020-07-10,1.13079
2020-07-13,1.13442
2020-07-14,1.14094
2020-07-15,1.14164
2020-07-16,1.13873
2020-07-17,1.14414
2020-07-20,1.14552
2020-07-21,1.15342
2020-07-22,1.1564
2020-07-23,1.15945
2020-07-24,1.1649
2020-07-27,1.17676
2020-07-28,1.1718
2020-07-29,1.17801
2020-07-30,1.18714
2020-07-31,1.17805
2020-08-03,1.17594
2020-08-04,1.1813
2020-08-05,1.18713
2020-08-06,1.18748
2020-08-07,1.17804
2020-08-10,1.17354
2020-08-11,1.17341
2020-08-12,1.17934
2020-08-13,1.1815
2020-08-14,1.18512
2020-08-17,1.1874
2020-08-18,1.19457
2020-08-19,1.18431
2020-08-20,1.18689
2020-08-21,1.17974
2020-08-24,1.1793
2020-08-25,1.18335
2020-08-26,1.18394
2020-08-27,1.18199
2020-08-28,1.19164
2020-08-31,1.19361
2020-09-01,1.1922
2020-09-02,1.18451
2020-09-03,1.18407
2020-09-04,1.18337
2020-09-07,1.1818
2020-09-08,1.17661
2020-09-09,1.1803
2020-09-10,1.18226
2020-09-11,1.18398
2020-09-14,1.18665
2020-09-15,1.18414
2020-09-16,1.18037
2020-09-17,1.18463
2020-09-18,1.18449
2020-09-21,1.17623
2020-09-22,1.17054
2020-09-23,1.16561
2020-09-24,1.16732
2020-09-25,1.16336
2020-09-28,1.16763
2020-09-29,1.17411
2020-09-30,1.17226
2020-10-01,1.17433
2020-10-02,1.17189
2020-10-05,1.17883
2020-10-06,1.17365
2020-10-07,1.1765
2020-10-08,1.17663
2020-10-09,1.18151
2020-10-12,1.18123
2020-10-13,1.17415
2020-10-14,1.17439
2020-10-15,1.1706
2020-10-16,1.17149
2020-10-19,1.17678
2020-10-20,1.18285
2020-10-21,1.1851
2020-10-22,1.1814
2020-10-23,1.18475
2020-10-26,1.18085
2020-10-27,1.1781
2020-10-28,1.17478
2020-10-29,1.16777
2020-10-30,1.16409
2020-11-02,1.16399
2020-11-03,1.17612
2020-11-04,1.17316
2020-11-05,1.18163
2020-11-06,1.1892
2020-11-09,1.18235
2020-11-10,1.18178
2020-11-11,1.17788
2020-11-12,1.18034
2020-11-13,1.18442
2020-11-16,1.18587
2020-11-17,1.1863
2020-11-18,1.18446
2020-11-19,1.18647
2020-11-20,1.18649
2020-11-23,1.18416
2020-11-24,1.18969
2020-11-25,1.19159
2020-11-26,1.19102
2020-11-27,1.19714
2020-11-30,1.19368
2020-12-01,1.207
2020-12-02,1.21134
2020-12-03,1.21445
2020-12-04,1.21195
2020-12-07,1.21088
2020-12-08,1.21089
2020-12-09,1.20778
2020-12-10,1.21428
2020-12-11,1.21325
2020-12-14,1.21481
2020-12-15,1.21537
2020-12-16,1.21956
2020-12-17,1.22609
2020-12-18,1.22112
2020-12-21,1.22343
2020-12-22,1.21865
2020-12-23,1.21935
2020-12-24,1.21828
2020-12-25,1.22032
2020-12-28,1.2219
2020-12-29,1.22515
2020-12-30,1.22979
2020-12-31,1.22121
2021-01-01,1.22491
2021-01-04,1.2252
2021-01-05,1.22981
2021-01-06,1.23376
2021-01-07,1.22683
2021-01-08,1.21865
2021-01-11,1.21601
2021-01-12,1.22082
2021-01-13,1.21613
2021-01-14,1.21499
2021-01-15,1.20657
2021-01-18,1.20771
2021-01-19,1.21389
2021-01-20,1.21139
2021-01-21,1.21649
2021-01-22,1.21665
2021-01-25,1.21421
2021-01-26,1.21628
2021-01-27,1.21023
2021-01-28,1.21202
2021-01-29,1.21221
2021-02-01,1.2067
2021-02-02,1.2036
2021-02-03,1.20408
2021-02-04,1.19656
2021-02-05,1.20417
2021-02-08,1.20517
2021-02-09,1.21155
2021-02-10,1.21184
2021-02-11,1.21299
2021-02-12,1.21198
2021-02-15,1.21316
2021-02-16,1.20877
2021-02-17,1.20448
2021-02-18,1.20913
2021-02-19,1.21239
2021-02-22,1.21634
2021-02-23,1.21502
2021-02-24,1.21688
2021-02-25,1.21571
2021-02-26,1.20899
2021-03-01,1.20481
2021-03-02,1.20843
2021-03-03,1.20456
2021-03-04,1.19666
2021-03-05,1.19254
2021-03-08,1.18502
2021-03-09,1.18962
2021-03-10,1.19237
2021-03-11,1.19804
2021-03-12,1.19496
2021-03-15,1.19256
2021-03-16,1.19016
2021-03-17,1.19821
2021-03-18,1.19171
2021-03-19,1.18831
2021-03-22,1.19316
2021-03-23,1.18389
2021-03-24,1.18122
2021-03-25,1.17751
2021-03-26,1.17869
2021-03-29,1.17681
2021-03-30,1.17225
2021-03-31,1.17266
2021-04-01,1.17768
2021-04-02,1.1767
2021-04-05,1.18163
2021-04-06,1.18732
2021-04-07,1.1872
2021-04-08,1.19148
2021-04-09,1.18953
2021-04-12,1.19111
2021-04-13,1.19531
2021-04-14,1.19826
2021-04-15,1.19687
2021-04-16,1.19682
2021-04-19,1.20419
2021-04-20,1.20318
2021-04-21,1.20365
2021-04-22,1.20138
2021-04-23,1.20889
2021-04-26,1.20785
2021-04-27,1.20886
2021-04-28,1.21343
2021-04-29,1.2124
2021-04-30,1.20266
2021-05-03,1.20582
2021-05-04,1.2014
2021-05-05,1.20069
2021-05-06,1.20646
2021-05-07,1.217
2021-05-10,1.21399
2021-05-11,1.21435
2021-05-12,1.2077
2021-05-13,1.2076
2021-05-14,1.21492
2021-05-17,1.21557
2021-05-18,1.22217
2021-05-19,1.21697
2021-05-20,1.22245
2021-05-21,1.218
2021-05-24,1.22137
2021-05-25,1.22462
2021-05-26,1.21914
2021-05-27,1.21921
2021-05-28,1.21888
2021-05-31,1.2232
2021-06-01,1.22168
2021-06-02,1.22089
2021-06-03,1.21293
2021-06-04,1.2166
2021-06-07,1.21901
2021-06-08,1.21716
2021-06-09,1.21777
2021-06-10,1.21721
2021-06-11,1.21088
2021-06-14,1.21212
2021-06-15,1.21239
2021-06-16,1.19945
2021-06-17,1.19125
2021-06-18,1.18699
2021-06-21,1.19113
2021-06-22,1.19357
2021-06-23,1.1929
2021-06-24,1.19273
2021-06-25,1.19409
2021-06-28,1.1928
2021-06-29,1.18995
2021-06-30,1.18554
2021-07-01,1.18451
2021-07-02,1.18551
2021-07-05,1.18618
2021-07-06,1.18214
2021-07-07,1.17923
2021-07-08,1.18458
2021-07-09,1.18718
2021-07-12,1.18621
2021-07-13,1.17742
2021-07-14,1.18323
2021-07-15,1.18107
2021-07-16,1.18118
2021-07-19,1.17912
2021-07-20,1.17805
2021-07-21,1.17917
2021-07-22,1.17717
2021-07-23,1.17725
2021-07-26,1.18042
2021-07-27,1.18198
2021-07-28,1.18449
