Model,MAPE,RMSE,sMAPE,MAPE Ranking,RMSE Ranking,sMAPE Ranking
Weighted Ensemble: Inverse RMSE,0.03695665276873185,3.214267958393105,2.461733114198016,1,1,1
Weighted Ensemble: Simple,0.03696002476444715,3.21800554839179,2.462333810555092,2,2,2
Weighted Ensemble: Inverse Variance,0.036983892532217365,3.218687083164884,2.4637351121961704,3,3,3
AutoSARIMA,0.038023165949572196,3.294485248444007,2.5285184279930015,4,4,4
Weighted Ensemble: Inverse Error Covariance,0.03855985284420253,3.362233252217813,2.5635259533189405,5,5,5
Exponential Smoothing,0.03945264626336383,3.3858905727996707,2.6246807362120004,6,6,6
Meta Ensemble: SVR,0.040147260195490954,3.5951291324878465,2.6842016952804406,7,9,7
Naive,0.04093841252364461,3.502125132491903,2.724533441843817,8,7,8
Naive (drift),0.041083217328780314,3.5119979555418923,2.7342929058824312,9,8,9
Meta Ensemble: Random Forest,0.04179404547663045,3.7410487974835265,2.792475608449261,10,10,10
XGBoost,0.04436929026331529,4.1026190047561,2.976201988091133,11,11,11
STL,0.049249724936103294,4.413122444987196,3.2735444503065323,12,12,12
