Model,MAPE,RMSE,sMAPE,MAPE Ranking,RMSE Ranking,sMAPE Ranking
Weighted Ensemble: Simple,0.03027812563049713,2.6441912897963653,2.0187507158302456,1,3,1
Weighted Ensemble: Inverse RMSE,0.03028780297426457,2.6404074622204567,2.018977558941458,2,2,2
Weighted Ensemble: Inverse Variance,0.030291081792748305,2.6390478235111994,2.01939131999412,3,1,3
Weighted Ensemble: Inverse Error Covariance,0.03083582455071585,2.7615277852593985,2.0545762605717384,4,5,4
AutoSARIMA,0.03114790244944001,2.7103133277796267,2.073019541282782,5,4,5
Exponential Smoothing,0.03266015659461723,2.7816767426669196,2.174801060015696,6,6,6
Meta Ensemble: SVR,0.03275068549993833,2.9728574907046106,2.1905137893197537,7,9,7
Naive,0.03295101097331722,2.7911993323850757,2.19474322875669,8,7,8
Naive (drift),0.03301276612883342,2.7985457948971817,2.198736945745724,9,8,9
XGBoost,0.03470132020924865,3.1807568410024456,2.3282239215226763,10,10,10
Meta Ensemble: Random Forest,0.03541600173083899,3.1919248217831955,2.3689590067666915,11,11,11
STL,0.04482329971290772,3.9997095551104365,2.9798818047586924,12,12,12
