Model,MAPE,RMSE,sMAPE,MAPE Ranking,RMSE Ranking,sMAPE Ranking
Naive,0.004097037238744224,0.005659388080021124,0.27312437931601036,1,1,1
Exponential Smoothing,0.004101394504175102,0.005681557142298954,0.2734254708562265,2,4,2
AutoTheta,0.00410169391366305,0.005677301382933134,0.27344517533619805,3,3,3
AutoSARIMA,0.004104646808998991,0.005669831355033095,0.2736309525133121,4,2,4
Weighted Ensemble: Inverse Error Covariance,0.004111087466298794,0.00568826472266791,0.2740622064365618,5,5,5
Weighted Ensemble: Inverse RMSE,0.004276955346323686,0.005929798246991027,0.285201153606924,6,6,6
Weighted Ensemble: Simple,0.0044082789516376895,0.006121590878814172,0.294004337676197,7,7,7
Weighted Ensemble: Inverse Variance,0.004430173584414836,0.006152661960026476,0.2954714105786588,8,8,8
Meta Ensemble: Random Forest,0.004872082526136406,0.0068134756132592076,0.32474622149563404,9,9,9
XGBoost,0.005358965304236945,0.007560871734001433,0.35714489276544226,10,10,10
STL,0.006600605320059855,0.00893702360607037,0.44012166026127225,11,11,11
TiDE,0.008045329415743587,0.010532102936216262,0.5376377708304628,12,12,12
Meta Ensemble: SVR,0.03530209982017567,0.049007744643717356,2.3050107349891062,13,13,13
