Model,MAPE,RMSE,sMAPE,MAPE Ranking,RMSE Ranking,sMAPE Ranking
Weighted Ensemble: Inverse Variance,0.0555176161824789,4.9062571647343995,3.6786517170742297,1,1,1
Weighted Ensemble: Inverse RMSE,0.05583897631811308,4.924157717171547,3.6997296334956533,2,2,2
Weighted Ensemble: Simple,0.05609835997027835,4.954370223967214,3.7172649401311944,3,3,3
AutoSARIMA,0.057056629247665136,4.965777863723306,3.7757600698903224,4,4,4
Exponential Smoothing,0.05706545820114279,4.967758898878004,3.776258662983158,5,5,5
Naive,0.059176093489981714,5.149567221398166,3.92531549790728,6,6,6
Naive (drift),0.05934171469144092,5.165420066093916,3.938057358407142,7,7,7
Weighted Ensemble: Inverse Error Covariance,0.061029561065955716,5.250321675416149,4.022200224321211,8,9,8
Meta Ensemble: SVR,0.06139616007226855,5.223736085532971,4.057003685381171,9,8,9
XGBoost,0.06295860061627305,5.521640340536832,4.180999502287031,10,10,10
Meta Ensemble: Random Forest,0.06567842708610266,5.707461396774103,4.342373465908345,11,11,11
STL,0.09256749092491975,7.961270130656771,6.151184827236515,12,12,12
