Model,MAPE,RMSE,sMAPE,MAPE Ranking,RMSE Ranking,sMAPE Ranking
AutoSARIMAX with covariates,0.02780398921969309,2.6096292514062567,1.8519534388732828,1,1,1
Exponential Smoothing,0.027810241031365864,2.641907046841634,1.8522900794714616,2,2,2
Weighted Ensemble: Inverse RMSE,0.027878463731831813,2.6741833263410855,1.8593970638718385,3,3,3
AutoSARIMA,0.028050059866327637,2.678017931725096,1.867650238116833,4,4,4
Weighted Ensemble: Inverse Variance,0.028059848404391317,2.6887309254421625,1.8722100811153153,5,5,5
Weighted Ensemble: Simple,0.028116321440814118,2.6941679518318797,1.876009540903329,6,6,6
Naive (drift),0.028447213043450114,2.745195492024172,1.8925106119133306,7,8,7
Naive,0.02844750237134269,2.7361891115965036,1.8936384417058334,8,7,8
Weighted Ensemble: Inverse Error Covariance,0.02948229975410024,2.7745869620315755,1.9692281996464998,9,10,9
Meta Ensemble: SVR,0.029712147393051155,2.7723770646784054,1.976254619937005,10,9,10
Meta Ensemble: Random Forest,0.03058318667899231,2.8964107102132126,2.04282581228778,11,11,11
XGBoostCov with covariates,0.03554343577367417,3.452590967393501,2.3880755587732616,12,12,12
XGBoost,0.03674086088543123,3.5545015834842113,2.471410556042335,13,13,13
STL,0.04403497064599879,4.202281320798969,2.9280999593042436,14,14,14
