Model,MAPE,RMSE,sMAPE,MAPE Ranking,RMSE Ranking,sMAPE Ranking
AutoSARIMA,0.02237714648608582,1.9897153879992033,1.4905035952490708,1,1,1
Weighted Ensemble: Inverse RMSE,0.022488224351795132,2.0265146605592954,1.499779924584073,2,5,2
Weighted Ensemble: Inverse Variance,0.022583859488079484,2.0441713490013442,1.5064078430778969,3,6,3
Weighted Ensemble: Simple,0.022793885103044458,2.0715736564949676,1.5204304932750214,4,7,4
Naive,0.022840762563274466,2.014758828085545,1.5221804100914582,5,2,5
Exponential Smoothing,0.022840762583204312,2.01475883132486,1.5221804113928201,6,3,6
Naive (drift),0.022866855017662117,2.0187418928050676,1.5234732532435913,7,4,7
Meta Ensemble: SVR,0.023589467390997883,2.161485214123496,1.5763349468902088,8,8,8
Meta Ensemble: Random Forest,0.025616916954015016,2.366965062564332,1.7097797750622201,9,9,9
XGBoost,0.026450532092122205,2.5001180338635525,1.7718149711572833,10,10,10
STL,0.04369034158903965,3.8560033840379933,2.909220756518464,11,11,11
Weighted Ensemble: Inverse Error Covariance,0.8851128642574784,238.79293906545914,33.261098998525846,12,12,12
