Model,MAPE,RMSE,sMAPE,MAPE Ranking,RMSE Ranking,sMAPE Ranking
Weighted Ensemble: Inverse Variance,0.0561,4.9846,3.7198,1,2,1
Weighted Ensemble: Inverse RMSE,0.0564,5.0026,3.7339,2,3,2
Weighted Ensemble: Simple,0.0566,5.0335,3.7533,3,5,3
AutoTheta,0.0569,4.9516,3.768,4,1,4
AutoSARIMA,0.0571,5.0174,3.7822,5,4,5
Naive,0.0592,5.1496,3.9253,6,6,6
Weighted Ensemble: Inverse Error Covariance,0.0596,5.2117,3.9529,7,7,7
Exponential Smoothing,0.0603,5.2744,4.0006,8,8,8
TiDE,0.061,5.3951,4.0477,9,9,9
Meta Ensemble: SVR,0.0616,5.3954,4.0765,10,10,10
XGBoost,0.063,5.5216,4.181,11,11,12
Meta Ensemble: Random Forest,0.0631,5.5926,4.1487,12,12,11
STL,0.0926,7.9613,6.1512,13,13,13
