Model,MAPE,RMSE,sMAPE,MAPE Ranking,RMSE Ranking,sMAPE Ranking
Weighted Ensemble: Inverse RMSE,0.0214988020089729,1.9683936096387848,1.4340966763492855,1,2,1
Weighted Ensemble: Inverse Variance,0.0216294421940614,1.9856813293195712,1.4430554485504548,2,3,2
Weighted Ensemble: Simple,0.0218106330124553,2.009829235202595,1.4551368272132883,3,4,4
AutoSARIMA,0.0218331868730944,1.947366402052056,1.4542896956235702,4,1,3
Exponential Smoothing,0.0224820121874773,2.0138372975675627,1.498543677733078,5,5,5
Naive,0.0228407625632744,2.014758828085545,1.5221804100914582,6,6,6
AutoTheta,0.0233183547110885,2.080417672248569,1.5542927879971622,7,7,7
Meta Ensemble: Random Forest,0.0234902916523456,2.173702411447101,1.5667215112975426,8,9,8
Weighted Ensemble: Inverse Error Covariance,0.0237734624244887,2.2405333528306497,1.5788629293865173,9,10,9
Meta Ensemble: SVR,0.023775349619797,2.154398245417498,1.5870399893591434,10,8,10
TiDE,0.0248144944092294,2.3650877946680877,1.6547234893833502,11,11,11
XGBoost,0.0264505320921222,2.5001180338635525,1.7718149711572833,12,12,12
STL,0.0436903415890396,3.856003384037993,2.909220756518464,13,13,13
