Model,MAPE,RMSE,sMAPE,MAPE Ranking,RMSE Ranking,sMAPE Ranking
Weighted Ensemble: Inverse Variance,0.035,3.1428,2.3304,1,1,1
Weighted Ensemble: Inverse RMSE,0.0351,3.1504,2.336,2,2,2
Weighted Ensemble: Simple,0.0351,3.151,2.3364,3,3,3
Weighted Ensemble: Inverse Error Covariance,0.0372,3.3187,2.4768,4,5,4
Exponential Smoothing,0.0375,3.3405,2.4982,5,6,6
AutoSARIMA,0.0375,3.2444,2.4971,6,4,5
AutoTheta,0.0386,3.4059,2.5665,7,7,7
TiDE,0.0388,3.5554,2.5854,8,10,8
Meta Ensemble: SVR,0.0388,3.4356,2.5881,9,8,9
Meta Ensemble: Random Forest,0.0408,3.6437,2.7229,10,11,10
Naive,0.0409,3.5021,2.7245,11,9,11
XGBoost,0.0444,4.1026,2.9762,12,12,12
STL,0.0492,4.4131,3.2735,13,13,13
