Model,MAPE,RMSE,sMAPE,MAPE Ranking,RMSE Ranking,sMAPE Ranking
Naive,0.0040970372387442,0.0056593880800211,0.2731243793160103,1,1,1
Exponential Smoothing,0.0041013945041751,0.0056815571422989,0.2734254708562265,2,4,2
AutoTheta,0.004101693913663,0.0056773013829331,0.273445175336198,3,3,3
AutoSARIMA,0.0041046468089989,0.005669831355033,0.2736309525133121,4,2,4
Weighted Ensemble: Inverse Error Covariance,0.0041110874662987,0.0056882647226679,0.2740622064365618,5,5,5
Weighted Ensemble: Inverse RMSE,0.0042769553463236,0.005929798246991,0.285201153606924,6,6,6
Weighted Ensemble: Simple,0.0044082789516376,0.0061215908788141,0.294004337676197,7,7,7
Weighted Ensemble: Inverse Variance,0.0044301735844148,0.0061526619600264,0.2954714105786588,8,8,8
Meta Ensemble: Random Forest,0.0048720825261364,0.0068134756132592,0.324746221495634,9,9,9
XGBoost,0.0053589653042369,0.0075608717340014,0.3571448927654422,10,10,10
STL,0.0066006053200598,0.0089370236060703,0.4401216602612722,11,11,11
TiDE,0.0080453294157435,0.0105321029362162,0.5376377708304628,12,12,12
Meta Ensemble: SVR,0.0353020998201756,0.0490077446437173,2.3050107349891062,13,13,13
