Model,MAPE,RMSE,sMAPE,MAPE Ranking,RMSE Ranking,sMAPE Ranking
AutoSARIMAX with covariates,0.027803989219693,2.6096292514062567,1.8519534388732828,1,1,1
Exponential Smoothing,0.0278102410313658,2.641907046841634,1.8522900794714616,2,2,2
Weighted Ensemble: Inverse RMSE,0.0278784637318318,2.674183326341085,1.8593970638718385,3,3,3
AutoSARIMA,0.0280500598663276,2.678017931725096,1.867650238116833,4,4,4
Weighted Ensemble: Inverse Variance,0.0280598484043913,2.6887309254421625,1.8722100811153155,5,5,5
Weighted Ensemble: Simple,0.0281163214408141,2.69416795183188,1.876009540903329,6,6,6
Naive (drift),0.0284472130434501,2.745195492024172,1.8925106119133304,7,8,7
Naive,0.0284475023713426,2.736189111596504,1.8936384417058332,8,7,8
Weighted Ensemble: Inverse Error Covariance,0.0294822997541002,2.7745869620315755,1.9692281996465,9,10,9
Meta Ensemble: SVR,0.0297121473930511,2.7723770646784054,1.976254619937005,10,9,10
Meta Ensemble: Random Forest,0.0305831866789923,2.8964107102132126,2.04282581228778,11,11,11
XGBoostCov with covariates,0.0355434357736741,3.452590967393501,2.3880755587732616,12,12,12
XGBoost,0.0367408608854312,3.5545015834842117,2.471410556042335,13,13,13
STL,0.0440349706459987,4.202281320798969,2.928099959304244,14,14,14
