,Model,MAPE,RMSE,SMAPE,MAPE_Ranking,RMSE_Ranking,SMAPE_Ranking
0,Naive,3.381769668481201,2.698995170766344,2.246949094732001,1,2,1
1,Naive (drift),3.4000602280188454,2.7178393347123655,2.2574680643054315,2,4,2
2,AutoSARIMA,3.432000295115461,2.683448435786823,2.2816655341018097,3,1,3
3,Exponential Smoothing,3.4681538468181583,2.6993199797115666,2.3049094047954295,4,3,4
4,Ens_weighted_Inv_RMSE,3.6248067569930544,2.8060911536512547,2.4096470143793796,5,5,5
5,AutoSARIMAX with covariates,3.694085839559074,2.916014474003276,2.452845465448465,6,8,6
6,Ens_weighted_Simple,3.6952434000867314,2.8669062244998975,2.4568912412839077,7,7,7
7,Ens_weighted_Inv_Variance,3.7050371474573414,2.8558595728581606,2.4630771128594398,8,6,8
8,Ens_meta_SVR,3.8142240327419743,3.0408576878932396,2.529375362661588,9,9,9
9,Ens_meta_RandomForest,4.093159705675027,3.2817148925246666,2.7080909602665235,10,10,10
10,XGBoost with covariates,4.301074083000277,3.4094740352518325,2.8689741466062446,11,11,11
11,Ens_weighted_Inv_ErrorCov,4.6603361327216835,4.2263318932876,3.14929035601273,12,13,12
12,XGBoost,4.902343515683815,3.75298649442172,3.243880258679127,13,12,13
13,STL,6.7887036760655635,5.431760212675742,4.531902391100737,14,14,14
