,Model,MAPE,RMSE,MAPE_Ranking,RMSE_Ranking
0,Exponential Smoothing,0.028698270343185513,2.706564346524851,1,1
1,Naive,0.028984684703211326,2.747925229849155,2,3
2,Ensemble_RSME,0.02913158688928673,2.8430251158575897,3,5
3,AutoSARIMA,0.0291746546313112,2.7305804789624712,4,2
4,Naive (drift),0.029382367362228125,2.748343448208751,5,4
5,Ensemble_RandomForest,0.030624140209658826,2.8715574118094795,6,6
6,AutoSARIMAX,0.031236585400610195,2.963673074161152,7,7
7,Ensemble_Metamodel_SVR,0.031888275590283455,3.0547173865961357,8,8
8,Ensemble_ErrorCorrelation,0.03242034855223944,3.169011924959694,9,9
9,STL,0.03436544847985898,3.2640704895396344,10,10
10,XGBoost (+ X),0.035846138954044336,3.7347897363846605,11,12
11,XGBoost,0.03612163928461236,3.425633810324841,12,11
12,Ensemble_Simple,0.04188074696249711,3.878727155449199,13,13
13,Ensemble_Variance,0.3003946738188143,22.717804808356565,14,14
14,Theta,0.3017374026739249,22.819415033903834,15,15
