,Model,MAPE,RMSE,SMAPE,MAPE_Ranking,RMSE_Ranking,SMAPE_Ranking
0,Naive,3.381769668481201,2.698995170766344,2.246949094732001,1,2,1
1,Naive (drift),3.4000602280188454,2.7178393347123655,2.2574680643054315,2,4,2
2,AutoSARIMA,3.432000295115461,2.683448435786823,2.2816655341018097,3,1,3
3,Exponential Smoothing,3.4681538468181583,2.6993199797115666,2.3049094047954295,4,3,4
4,AutoSARIMAX,3.617484601108418,2.9037582819787806,2.400975963524007,5,9,5
5,Ens_weighted_Inv_RMSE,3.6181756693186067,2.7792089737110026,2.4047652729780964,6,5,6
6,Ens_meta_SVR,3.6923567168085327,2.896261183270747,2.4430576947342844,7,8,7
7,Ens_weighted_Simple,3.693280381700685,2.838777539386888,2.455142325791134,8,7,8
8,Ens_weighted_Inv_Variance,3.704023320656609,2.8285341199299836,2.4617527243866113,9,6,9
9,Ens_meta_RandomForest,4.081673722463759,3.2438913619885894,2.7025706851066653,10,10,10
10,XGBoost (+ X),4.293530941072519,3.4380278108007922,2.86038094086566,11,11,11
11,Ens_weighted_Inv_ErrorCov,4.4077037998739055,3.7418911567292796,2.9701205932822283,12,12,12
12,XGBoost,4.890945911551238,3.763728858805942,3.2365279343825497,13,13,13
13,STL,6.7887036760655635,5.431760212675742,4.531902391100737,14,14,14
