,Model,mape,rmse,smape,MAPE Ranking,RMSE Ranking,SMAPE Ranking
0,Weighted Ensemble: Inverse RMSE,2.75563018926988,2.618257038403672,1.846892045870023,1,1,1
1,Weighted Ensemble: Simple,2.7618661316905975,2.6360955034145332,1.8508249663114602,2,2,2
2,Weighted Ensemble: Inverse Variance,2.7790443744206264,2.638848069120515,1.8633826927315222,3,3,3
3,Exponential Smoothing,2.8698270343185515,2.706564346524851,1.923401123429775,4,4,4
4,Naive,2.8984684703211325,2.747925229849155,1.9411800629592901,5,6,5
5,AutoSARIMA,2.917465460449375,2.7305804774325533,1.9535975783349595,6,5,6
6,Naive (drift),2.9382367362228123,2.748343448208751,1.9636718240644184,7,7,7
7,Meta Ensemble: RandomForest,3.041801781435417,2.796182924787218,2.038739994594452,8,8,8
8,AutoSARIMAX with covariates,3.1302584687329813,2.9684966646905764,2.08566044183851,9,9,9
9,Weighted Ensemble: Inverse Error Covariance,3.1419034073331096,3.0313703899646605,2.1055061371737915,10,12,10
10,XGBoost with covariates,3.159100565342541,3.1303661311251862,2.131706106087868,11,13,12
11,XGBoost,3.1609332548585503,2.98684786650859,2.1357538423734517,12,11,13
12,Meta Ensemble: SVR,3.1855660085053703,2.9865647463198166,2.127016697626358,13,10,11
13,STL,4.9141734596665785,4.620505740634292,3.266420727394857,14,14,14
