,Model,MAE,RMSE,MAPE,sMAPE,MAE Ranking,RMSE Ranking,MAPE Ranking,sMAPE Ranking
0,Weighted Ensemble: Inverse RMSE,1.987962436440041,2.618257038403672,0.0275563018926988,1.846892045870023,1,1,1,1
1,Weighted Ensemble: Simple,1.9928335719536068,2.6360955034145332,0.027618661316905976,1.8508249663114602,2,2,2,2
2,Weighted Ensemble: Inverse Variance,2.0047489988156424,2.638848069120515,0.027790443744206264,1.8633826927315222,3,3,3,3
3,Exponential Smoothing,2.073113475672101,2.706564346524851,0.028698270343185513,1.923401123429775,4,4,4,4
4,Naive,2.090016675236948,2.747925229849155,0.028984684703211326,1.9411800629592901,5,6,5,5
5,AutoSARIMA,2.111370762475592,2.7305804774325533,0.02917465460449375,1.9535975783349595,6,5,6,6
6,Naive (drift),2.1175021538860213,2.748343448208751,0.029382367362228125,1.9636718240644184,7,7,7,7
7,Meta Ensemble: RandomForest,2.209277001016163,2.7905851186785595,0.030547668143957978,2.0488119444573636,8,8,8,8
8,AutoSARIMAX with covariates,2.2495033525204913,2.9684966646905764,0.03130258468732981,2.08566044183851,10,9,9,9
9,Weighted Ensemble: Inverse Error Covariance,2.260794497170988,3.0313703899646605,0.0314190340733311,2.1055061371737915,11,12,10,10
10,XGBoost with covariates,2.2971790922433053,3.1303661311251862,0.03159100565342541,2.131706106087868,13,13,11,12
11,XGBoost,2.2381828036431424,2.98684786650859,0.0316093325485855,2.1357538423734517,9,11,12,13
12,Meta Ensemble: SVR,2.2820600203568,2.9865647463198166,0.0318556600850537,2.127016697626358,12,10,13,11
13,STL,3.5297551144570964,4.620505740634292,0.049141734596665786,3.266420727394857,14,14,14,14
