Model,MAPE,RMSE,sMAPE,MAPE Ranking,RMSE Ranking,sMAPE Ranking
Weighted Ensemble: Inverse Variance,0.05613713860596918,4.984608946065825,3.7198205845185166,1,2,1
Weighted Ensemble: Inverse RMSE,0.056351732745319655,5.002579357072745,3.7338714678533402,2,3,2
Weighted Ensemble: Simple,0.05664215683374117,5.033457332994767,3.753290887117074,3,5,3
AutoTheta,0.05693502437100722,4.951561659068846,3.7679923873271526,4,1,4
AutoSARIMA,0.05714534182219825,5.017356427661726,3.7822185899169276,5,4,5
Naive,0.059176093489981714,5.149567221398166,3.92531549790728,6,6,6
Weighted Ensemble: Inverse Error Covariance,0.059647270966646807,5.211749218104306,3.952922118523802,7,7,7
Exponential Smoothing,0.06030782501825958,5.274425096205412,4.000638146019504,8,8,8
TiDE,0.06103419194300499,5.395124097708852,4.0476987569935705,9,9,9
Meta Ensemble: SVR,0.06161783889890296,5.3953521330979655,4.076503423691575,10,10,10
XGBoost,0.06295860061627305,5.521640340536832,4.180999502287031,11,11,12
Meta Ensemble: Random Forest,0.06309463514760909,5.592550367315139,4.1487409804213495,12,12,11
STL,0.09256749092491975,7.961270130656771,6.151184827236515,13,13,13
