Model,MAPE,RMSE,sMAPE,MAPE Ranking,RMSE Ranking,sMAPE Ranking
Weighted Ensemble: Inverse Variance,0.03496948556561512,3.142844183699951,2.3303945956769283,1,1,1
Weighted Ensemble: Inverse RMSE,0.035057269295284695,3.150374320821349,2.336016162392846,2,2,2
Weighted Ensemble: Simple,0.035058139484163524,3.151047959675063,2.3364452662722033,3,3,3
Weighted Ensemble: Inverse Error Covariance,0.037187713403270845,3.3187281012553647,2.4767908474821168,4,5,4
Exponential Smoothing,0.03752953909368333,3.340526678536064,2.498175482418451,5,6,6
AutoSARIMA,0.03753658330832267,3.244437751378399,2.4970598209420842,6,4,5
AutoTheta,0.03856387155832899,3.4059003884158674,2.5664962847148245,7,7,7
TiDE,0.03878269426455765,3.555381520125451,2.585409664339188,8,10,8
Meta Ensemble: SVR,0.03878710572067087,3.435591189020558,2.5880562537231038,9,8,9
Meta Ensemble: Random Forest,0.04079040736405543,3.643726017279611,2.722856603175479,10,11,10
Naive,0.04093841252364461,3.502125132491903,2.724533441843817,11,9,11
XGBoost,0.04436929026331529,4.1026190047561,2.976201988091133,12,12,12
STL,0.049249724936103294,4.413122444987196,3.2735444503065323,13,13,13
