Model,MAPE,RMSE,sMAPE,MAPE Ranking,RMSE Ranking,sMAPE Ranking
Weighted Ensemble: Inverse Variance,0.028514429534629942,2.577473569819514,1.901336246927957,1,1,1
Weighted Ensemble: Simple,0.0285499100091728,2.5908597261567845,1.9038417251055404,2,3,2
Weighted Ensemble: Inverse RMSE,0.02858998501702737,2.5850695897984375,1.9061658578310476,3,2,3
AutoSARIMA,0.030213300910516824,2.638001552755826,2.0110888485669087,4,4,4
Exponential Smoothing,0.03086560783840944,2.743686629316298,2.0562017711458473,5,5,5
Weighted Ensemble: Inverse Error Covariance,0.030954455635633333,2.76378711039675,2.062405660931476,6,6,6
AutoTheta,0.032078652078642196,2.822191089844623,2.1366778529807857,7,8,7
Meta Ensemble: SVR,0.032302580907749213,2.9273700063485584,2.156422098986891,8,10,8
Meta Ensemble: Random Forest,0.03271371995545189,2.9178093921685857,2.1863137032606574,9,9,9
Naive,0.03295101097331722,2.7911993323850757,2.19474322875669,10,7,10
TiDE,0.03334274768160961,3.0639237222508022,2.2213200764441265,11,11,11
XGBoost,0.03470132020924865,3.1807568410024456,2.3282239215226763,12,12,12
STL,0.04482329971290772,3.9997095551104365,2.9798818047586924,13,13,13
